Order#;Item;Qty;Total;When
8818;Spiderman;1;$12.50;2025-10-30 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
8818;Spiderman;1;$12.50;2025-10-31 19:11
9499;Spiderman;1;$12.50;2025-10-31 19:13
9499;Spiderman;1;$12.50;2025-10-31 19:13
9499;Spiderman;1;$12.50;2025-10-31 19:13
9499;Spiderman;1;$12.50;2025-10-31 19:13
9719;M&M Cookie;1;$2.50;2025-10-31 19:14
9719;M&M Cookie;1;$2.50;2025-10-31 19:14
9719;M&M Cookie;1;$2.50;2025-10-31 19:14
9719;M&M Cookie;1;$2.50;2025-10-31 19:14
